,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,ML_model,param_C,param_max_iter,param_penalty,param_solver
40,3.1782814979553224,0.10113210150887018,0.11154141426086425,0.008701693313491318,True,balanced,gini,85,sqrt,14,2,361,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 85), ('max_features', 'sqrt'), ('min_samples_leaf', 14), ('min_samples_split', 2), ('n_estimators', 361), ('random_state', 42)])",1.6764995509464684,1.734529265938629,1.758012926783678,1.6979312290462278,1.6616250608703846,1.7057196067170775,0.035842397373661385,20,RandomForestClassifier,,,,
41,0.34836525917053224,0.020156718294490828,0.019650983810424804,0.002784786547921973,True,balanced,gini,200,sqrt,20,26,38,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 200), ('max_features', 'sqrt'), ('min_samples_leaf', 20), ('min_samples_split', 26), ('n_estimators', 38), ('random_state', 42)])",1.63968870639782,1.6717815380118335,1.6202543255077235,1.6766332975424043,1.6337699413428852,1.6484255617605332,0.022026876256327963,88,RandomForestClassifier,,,,
42,21.385897970199586,2.0550355503391167,0.6221631050109864,0.07819848943912146,False,balanced,gini,178,log2,20,96,2000,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 178), ('max_features', 'log2'), ('min_samples_leaf', 20), ('min_samples_split', 96), ('n_estimators', 2000), ('random_state', 42)])",1.6483252199345984,1.6738608635249355,1.7294646987518112,1.7483367504903486,1.6973962426624822,1.6994767550728351,0.036231361820871555,37,RandomForestClassifier,,,,
43,1.1618874073028564,0.042532752715593446,0.035896587371826175,0.0007304062713310894,True,balanced,entropy,80,sqrt,13,100,127,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 13), ('min_samples_split', 100), ('n_estimators', 127), ('random_state', 42)])",1.6377431274806549,1.6588526268529153,1.7433785871316545,1.6764204898861572,1.7164020409969565,1.6865593744696674,0.038399204385443995,71,RandomForestClassifier,,,,
44,25.461088514328004,2.6312212913226363,0.7281276226043701,0.08540461731246785,True,balanced,entropy,63,sqrt,12,8,2000,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 63), ('max_features', 'sqrt'), ('min_samples_leaf', 12), ('min_samples_split', 8), ('n_estimators', 2000), ('random_state', 42)])",1.6686625497421812,1.6916932525069226,1.7255188553818543,1.7055007370586417,1.6956908141693767,1.6974132417717953,0.01853440272914262,45,RandomForestClassifier,,,,
45,4.065759992599487,0.2586815123109631,0.12968878746032714,0.009039680536581843,True,balanced,gini,135,sqrt,8,5,388,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 135), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 5), ('n_estimators', 388), ('random_state', 42)])",1.7113648165779511,1.6940127284440842,1.7102187499932768,1.7439652918078978,1.65999869343759,1.70391205605216,0.02729820443046444,25,RandomForestClassifier,,,,
46,7.5034270763397215,0.2854307350105466,0.18288931846618653,0.017494407260270347,False,balanced,gini,173,sqrt,10,2,471,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 173), ('max_features', 'sqrt'), ('min_samples_leaf', 10), ('min_samples_split', 2), ('n_estimators', 471), ('random_state', 42)])",1.6840690589588825,1.6957454997050025,1.72144223265909,1.7033150077174164,1.6754325454221044,1.696000868892499,0.01591382323108326,50,RandomForestClassifier,,,,
47,39.73091902732849,4.482992380851619,0.8194715499877929,0.11369576052519129,False,balanced,entropy,111,sqrt,12,2,2000,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 111), ('max_features', 'sqrt'), ('min_samples_leaf', 12), ('min_samples_split', 2), ('n_estimators', 2000), ('random_state', 42)])",1.676365804350532,1.6853762149073064,1.7049960606858376,1.6930794695156568,1.693611488656275,1.6906858076231213,0.009511328382695191,63,RandomForestClassifier,,,,
48,4.401719236373902,0.3510499907275453,0.19800519943237305,0.030791539733418572,True,balanced,gini,64,log2,15,2,551,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 64), ('max_features', 'log2'), ('min_samples_leaf', 15), ('min_samples_split', 2), ('n_estimators', 551), ('random_state', 42)])",1.698250440530599,1.7003297660437005,1.731063723416793,1.716669534188829,1.7007827241240077,1.7094192376607857,0.012672809105092468,13,RandomForestClassifier,,,,
49,11.06475396156311,1.3606736032421267,0.20037641525268554,0.028236104440087846,False,balanced,entropy,139,sqrt,1,29,397,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 139), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 29), ('n_estimators', 397), ('random_state', 42)])",1.6855890225635537,1.663680010858802,1.6751953622411726,1.6321435739100902,1.6001571461242003,1.651353023139564,0.03124911576252272,87,RandomForestClassifier,,,,
